 zip_code,lat,lng
35570,34.138346,-87.99136
35543,34.279329,-87.697361
35228,33.458792,-86.91125
36575,30.746436,-88.286184
36509,30.396132,-88.24733
36608,30.700615,-88.134938
36609,30.662211,-88.14885
36605,30.607175,-88.073514
36613,30.804086,-88.24926
36617,30.702771,-88.08465
36560,31.112112,-88.115121
36611,30.763764,-88.075052
36522,31.093364,-88.235874
36603,30.672211,-88.050053
36582,30.547774,-88.190109
36528,30.249782,-88.125954
36609,30.662804,-88.146518
36608,30.682018,-88.168046
36544,30.444574,-88.245352
36693,30.635484,-88.163711
36603,30.693193,-88.050034
36613,30.772044,-88.135433
36609,30.653573,-88.141296
36618,30.718423,-88.145962
36610,30.733088,-88.076266
36541,30.484102,-88.344606
36611,30.761299,-88.082318
36608,30.716985,-88.183137
36604,30.679345,-88.070684
36613,30.75438,-88.114621
36575,30.780277,-88.27849
36582,30.548378,-88.163284
36606,30.660182,-88.107997
36541,30.480357,-88.345634
36610,30.73886,-88.056624
36606,30.682795,-88.086678
36604,30.690191,-88.07932
36607,30.696872,-88.12032
36610,30.744798,-88.098192
36572,30.849213,-88.06767
36575,30.786316,-88.290427
36693,30.641015,-88.14355
36587,30.724323,-88.369023
36617,30.714209,-88.086526
36610,30.743233,-88.080692
36619,30.588038,-88.181122
36612,30.756166,-88.103992
36610,30.736021,-88.07124
36587,30.846995,-88.349966
36544,30.442074,-88.280226
36693,30.616911,-88.18379
36603,30.682455,-88.045313
36602,30.688117,-88.047649
36695,30.616649,-88.278463
36607,30.693978,-88.120045
36608,30.702125,-88.277402
36522,31.028961,-88.229988
36587,30.867216,-88.277805
36544,30.442615,-88.290625
36575,30.779757,-88.284118
36695,30.619098,-88.337211
36605,30.613922,-88.071721
36693,30.61293,-88.177516
36613,30.795077,-88.228906
36617,30.709717,-88.097944
36607,30.692261,-88.099214
36619,30.587808,-88.236128
36544,30.544528,-88.233698
36617,30.70491,-88.097799
36606,30.682881,-88.086677
36560,31.08976,-87.99951
36582,30.544605,-88.185698
36693,30.640672,-88.142132
36605,30.66788,-88.068677
36617,30.715163,-88.083534
36695,30.650468,-88.232077
36541,30.516829,-88.336258
36609,30.672733,-88.141952
36425,31.737793,-87.206019
36460,31.483967,-87.333869
36439,31.431711,-87.340639
36425,31.733129,-87.196751
36480,31.302423,-87.502094
36751,31.77332,-87.485795
36461,31.4966,-87.33721
36104,32.369234,-86.299497
36111,32.340976,-86.297403
36105,32.344949,-86.310508
36107,32.382636,-86.271453
36108,32.348997,-86.334253
36110,32.418545,-86.27934
36116,32.313388,-86.260258
36109,32.390439,-86.244764
36111,32.343341,-86.259369
36117,32.377244,-86.211505
36069,32.046587,-86.223715
36104,32.35875,-86.31406
36109,32.36669,-86.252082
36106,32.360855,-86.285934
36108,32.350602,-86.325713
36064,32.355003,-86.102682
36107,32.371519,-86.281132
36104,32.377558,-86.291189
36111,32.343214,-86.262583
36109,32.389539,-86.26721
36043,32.17585,-86.371547
36104,32.355817,-86.310102
36106,32.347748,-86.234027
36116,32.324071,-86.219561
36104,32.362837,-86.313445
36117,32.390506,-86.179264
36116,32.294046,-86.253711
36107,32.384605,-86.282772
36108,32.355013,-86.344232
36117,32.310644,-86.132438
35619,34.432048,-87.089854
35622,34.365829,-86.914591
35673,34.595941,-87.065931
35670,34.474486,-86.698118
35621,34.33389,-86.76396
35622,34.366326,-86.912323
35754,34.533116,-86.60551
35603,34.527391,-86.897897
35087,34.340808,-86.610524
35640,34.44874,-86.843235
35670,34.472665,-86.622421
35673,34.585333,-87.079488
35603,34.534675,-86.879348
35601,34.559355,-86.968061
35673,34.585382,-87.07872
35603,34.527391,-86.897897
35223,33.48102,-86.719648
35213,33.509901,-86.71634
35661,34.743636,-87.6503
35121,33.933277,-86.495959
36801,32.649063,-85.420755
36467,31.288584,-86.239462
36203,33.611835,-85.831612
36207,33.627316,-85.746489
36201,33.602645,-85.935956
36360,31.461178,-85.625557
35125,33.594407,-86.311058
35128,33.577487,-86.285753
35054,33.538289,-86.287343
36786,32.44476,-87.517611
36756,32.634619,-87.321689
36870,32.484975,-85.039748
36869,32.441345,-85.000796
36867,32.479367,-85.021491
36867,32.466225,-85.023017
36870,32.487422,-85.037893
36867,32.51536,-85.03464
35442,33.134408,-88.155601
35447,33.26043,-88.094654
35481,33.375697,-88.015226
35466,33.325006,-87.906748
36272,33.928973,-85.622573
36005,31.817862,-85.838632
36010,31.711219,-85.817925
36035,31.719567,-86.101605
36081,31.810943,-85.951986
36278,33.310992,-85.487814
36274,33.153835,-85.29287
36276,33.123541,-85.576097
36280,33.374337,-85.393212
36274,33.14977,-85.372951
36804,32.446145,-85.255056
36869,32.468538,-85.084584
36856,32.35904,-85.03235
36875,32.298869,-85.167884
36860,32.238865,-85.419595
36856,32.35926,-85.031126
35653,34.524527,-87.743638
35768,34.670395,-86.018627
35769,34.621887,-86.052917
36701,32.413731,-87.007824
35660,34.770195,-87.689551
35043,33.334007,-86.636019
35242,33.369267,-86.710886
35040,33.107627,-86.750083
35051,33.185254,-86.615779
35080,33.290381,-86.846331
35115,33.104086,-86.858828
35124,33.312895,-86.82121
35143,33.085115,-86.564594
35007,33.22502,-86.82433
35178,33.361177,-86.426381
35186,33.236839,-86.485303
35242,33.366521,-86.734226
35051,33.178093,-86.630883
35244,33.346624,-86.81018
35080,33.292281,-86.866274
35007,33.17642,-86.808254
35242,33.409523,-86.700949
35043,33.334107,-86.635919
35114,33.225529,-86.864786
35040,33.100176,-86.75324
35007,33.22612,-86.82408
35043,33.34011,-86.63026
35146,33.779035,-86.468358
35120,33.679025,-86.397579
35953,33.771478,-86.282265
35004,33.595745,-86.498685
35131,33.741813,-86.151799
35987,33.941587,-86.202356
35004,33.609684,-86.459368
35120,33.6776,-86.39809
35470,32.586145,-88.188834
